ID,Name,Place,Type,Price,ReviewsCount,Rating,City,State
220,The Florian Amsterdam Airport,Hoofddorp,Double Room,96.18,500,8.4,Hoofddorp,
221,NH Amsterdam Schiphol Airport,Hoofddorp,Standard Double or Twin Room,99.68,500,8.4,Hoofddorp,
222,Hampton by Hilton Amsterdam Airport Schiphol,Hoofddorp,Double Room,103.82,2683,8,Hoofddorp,
223,Courtyard by Marriott Amsterdam Airport,Hoofddorp,Standard Queen Room with Two Queen Beds,116.39,754,8.1,Hoofddorp,
224,Van der Valk Hotel A4 Schiphol,Hoofddorp,Superior Twin Room,119.56,3753,8.3,Hoofddorp,
225,Wim's Place Amsterdam Airport / Hoofddorp,Hoofddorp,Deluxe Double Room (2 Adults + 1 Child),426.58,500,8.2,Hoofddorp,
226,Floriande Bed & Breakfast,Hoofddorp,Deluxe Room,67.35,138,7.6,Hoofddorp,
227,Bastion Hotel Amsterdam Airport,Hoofddorp,Deluxe Twin Room,88.91,500,7.6,Hoofddorp,
228,"Holiday Inn Express Amsterdam - Schiphol, an IHG Hotel",Hoofddorp,Standard Double or Twin,112.35,1842,7.8,Hoofddorp,
229,Hotel De Beurs,Hoofddorp,Business Double Room,125.73,557,7.7,Hoofddorp,
230,Best Western Plus Amsterdam Airport Hotel,Hoofddorp,Deluxe Twin Room,84.41,500,7.1,Hoofddorp,
231,Bastion Hotel Schiphol Hoofddorp,Hoofddorp,Comfort Twin Room,75.44,500,6.9,Hoofddorp,
232,Cosy Cityhouse Leeuwarden,Leeuwarden,One-Bedroom House,112.08,142,9.1,Leeuwarden,
233,B&B De Olde Signorie,Leeuwarden,Triple Room,148.48,500,9.4,Leeuwarden,
234,Post-Plaza Hotel & Grand Café,Leeuwarden,Comfort Twin Room,93.12,2474,8.8,Leeuwarden,
235,Van der Valk Hotel Leeuwarden,Leeuwarden,Deluxe Twin Room,100.63,1039,8.9,Leeuwarden,
236,Stadslogies in Leeuwarden,Leeuwarden,Deluxe Double Studio,103.28,375,8.7,Leeuwarden,
237,B&B De Dream,Leeuwarden,Deluxe Single Room,131.04,500,8.9,Leeuwarden,
238,Guesthouse De Kleyne Sint Jacob,Leeuwarden,Double Room with Terrace,73.28,40,8.3,Leeuwarden,
239,WestCord WTC Hotel Leeuwarden,Leeuwarden,Comfort Room,89.58,500,8.3,Leeuwarden,
240,Oranje Hotel Leeuwarden,Leeuwarden,Standard Room,91.71,1725,8.4,Leeuwarden,
241,Hotel & Restaurant Weidumerhout,Leeuwarden,Superior Double Room with Shower / Bath,107.77,500,8.3,Leeuwarden,
242,Boutique hotel WKNDS,Leeuwarden,Deluxe Twin Room,109.07,482,8.1,Leeuwarden,
243,In de Brouwerij,Leeuwarden,Superior Double Room,116.71,264,8.4,Leeuwarden,
244,City Penthouse Mademoiselle Anna Louise,Leeuwarden,Penthouse Apartment,128.03,500,8.4,Leeuwarden,
245,City House Grande Madame Agaath,Leeuwarden,Deluxe Two-Bedroom Apartment,146.65,500,8,Leeuwarden,
246,Bastion Hotel Leeuwarden,Leeuwarden,Comfort Twin Room,79.93,500,7.6,Leeuwarden,
247,City Boutique Ster Logies Leeuwarden De Roos,Leeuwarden,Small Comfort Twin Room,85.35,500,7.6,Leeuwarden,
248,Eurohotel,Leeuwarden,Standard Double Room,92.69,2662,7.5,Leeuwarden,
